keyword,publication_year,count,normalized_count
edge computing,2015,12,0.007100591715976331
edge computing,2016,92,0.054437869822485205
edge computing,2017,345,0.20414201183431951
edge computing,2018,789,0.4668639053254438
edge computing,2019,1319,0.7804733727810651
edge computing,2020,1564,0.9254437869822485
edge computing,2021,1690,1.0
edge computing,2022,1638,0.9692307692307692
edge computing,2023,1340,0.7928994082840237
edge computing,2024,856,0.506508875739645
edge computing,2025,117,0.06923076923076923
